Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
Might & Magic X: Legacy,PC,2014,Role-Playing,Ubisoft,0.0,0.03,0.0,0.0,0.03
MTV Music Generator 2,PS2,2001,Misc,Codemasters,0.08,0.06,0.0,0.02,0.16
Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05
MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.71
Lethal Skies Elite Pilot: Team SW,PS2,2001,Simulation,Sammy Corporation,0.11,0.08,0.0,0.03,0.22
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0.0,0.02,0.14
Football Manager 2011,PC,2010,Sports,Sega,0.0,1.01,0.0,0.25,1.26
LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive,0.83,0.28,0.0,0.05,1.16
The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99
My French Coach,DS,2007,Misc,Ubisoft,0.15,0.02,0.0,0.01,0.18
Sakura-Sou no Pet na Kanojo,PSP,2013,Adventure,Kadokawa Games,0.0,0.0,0.01,0.0,0.01
Micro Machines 64 Turbo,N64,1999,Racing,Codemasters,0.11,0.03,0.0,0.0,0.14
Salon Superstar,DS,2009,Simulation,505 Games,0.07,0.0,0.0,0.0,0.07
Game de Hakken!! Tamagotchi 2,GB,1997,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45
Steins;Gate: Hiyoku Renri no Darling,X360,2011,Adventure,5pb,0.0,0.0,0.08,0.0,0.08
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.16
Jikkyou Powerful Major League 2009,PS2,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,Misc,D3Publisher,0.01,0.0,0.0,0.0,0.01
The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft,0.99,0.16,0.0,0.04,1.19
Option Tuning Car Battle,PS,1998,Racing,MTO,0.0,0.0,0.09,0.01,0.1
Madden NFL 06,XB,2005,Sports,Electronic Arts,1.75,0.03,0.0,0.08,1.86
Sherlock Holmes: Crimes & Punishments,PS3,2014,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
ZhuZhu Pets: Quest for Zhu,DS,2011,Misc,Activision,0.07,0.0,0.0,0.01,0.08
Fabulous Finds,DS,2009,Puzzle,ValuSoft,0.1,0.0,0.0,0.01,0.11
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010,Shooter,Sega,0.06,0.01,0.0,0.01,0.08
Metal Slug 3,XB,2004,Shooter,Ignition Entertainment,0.08,0.02,0.0,0.0,0.1
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0.0,0.02,0.12
Star Wars: Empire at War - Gold Pack,PC,2007,Strategy,LucasArts,0.01,0.06,0.0,0.01,0.08
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.07
Showdown: Legends of Wrestling,XB,2004,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.12
The Oregon Trail,Wii,2011,Simulation,Crave Entertainment,0.15,0.0,0.0,0.01,0.16
Super Monkey Ball: Touch & Roll,DS,2005,Misc,Sega,0.7,0.01,0.0,0.06,0.77
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games,0.17,0.12,0.06,0.03,0.38
Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.49
NHL 14,X360,2013,Sports,Electronic Arts,0.4,0.1,0.0,0.04,0.54
Ghost Rider,PSP,2007,Action,Take-Two Interactive,0.22,0.0,0.0,0.02,0.24
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
PlayStation Move Heroes,PS3,2011,Platform,Sony Computer Entertainment,0.08,0.06,0.0,0.03,0.17
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0.0,0.16,1.17
D1 Professional Drift Grand Prix Series,PS2,2005,Racing,Yuke's,0.01,0.01,0.0,0.0,0.02
Ultimate Mortal Kombat,DS,2007,Fighting,Midway Games,0.09,0.01,0.0,0.01,0.11
Shooter: Starfighter Sanvein,PS,2000,Shooter,Midas Interactive Entertainment,0.01,0.01,0.0,0.0,0.02
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.6
Ninjatown,DS,2008,Strategy,SouthPeak Games,0.12,0.0,0.0,0.01,0.13
Young Justice: Legacy,3DS,2013,Action,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03
Harvest Moon: Frantic Farming,DS,2009,Puzzle,Rising Star Games,0.08,0.01,0.0,0.01,0.1
UFC 2009 Undisputed,X360,2009,Fighting,THQ,1.48,0.39,0.0,0.19,2.06
Dreamer Series: Pop Star,DS,2009,Misc,Tivola,0.04,0.02,0.0,0.01,0.07
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
Spirits & Spells,GBA,2003,Platform,Wanadoo,0.01,0.0,0.0,0.0,0.01
Bladestorm: The Hundred Years' War,X360,2007,Action,Tecmo Koei,0.08,0.01,0.0,0.01,0.1
Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios,0.32,0.17,0.0,0.04,0.53
AKB1/149: Love Election,PSV,2012,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
Pro Evolution Soccer 2012,X360,2011,Action,Konami Digital Entertainment,0.1,0.34,0.0,0.07,0.51
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,Activision,0.62,0.33,0.0,0.09,1.04
Scarface: Money. Power. Respect.,PSP,2006,Strategy,Vivendi Games,0.15,0.0,0.0,0.01,0.16
Jikkyou Powerful Pro Yakyuu 2012,PSP,2012,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15
Chuck E. Cheese's Party Games,DS,2010,Misc,UFO Interactive,0.17,0.0,0.0,0.01,0.18
The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,0.92,0.94,0.0,0.22,2.08
Cool Boarders 3,PS,1998,Sports,989 Studios,1.65,0.46,0.1,0.1,2.31
River Raid,2600,1981,Shooter,Activision,1.49,0.09,0.0,0.02,1.6
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.31,0.22,0.0,0.05,0.58
Criticom,PS,1996,Fighting,Vic Tokai,0.07,0.05,0.0,0.01,0.13
Hyakumanton no Bara Bara,PSP,2010,Strategy,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
Hitman: Contracts,PS2,2004,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,0.8
Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.09
Rimo-Cocoron,PS2,2001,Action,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05
Swingerz Golf,GC,2002,Sports,Eidos Interactive,0.06,0.02,0.0,0.0,0.08
Adventure Island,NES,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
Transformer: Rise of the Dark Spark,PS4,2014,Action,Activision,0.07,0.1,0.01,0.04,0.22
Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004,Misc,Unknown,0.11,0.04,0.0,0.0,0.15
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,2011,Adventure,Banpresto,0.0,0.0,0.15,0.0,0.15
Mind Zero,PSV,2013,Role-Playing,GungHo,0.08,0.0,0.04,0.02,0.14
Coraline,Wii,2009,Action,D3Publisher,0.05,0.0,0.0,0.0,0.05
Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9
ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",0.33,0.0,0.0,0.02,0.35
Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.46,0.34,0.21,1.59
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.88
Mahjong Fight Club DS: Wi-Fi Taiou,DS,2006,Misc,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07
Lumines: Electronic Symphony,PSV,2012,Misc,Ubisoft,0.11,0.1,0.01,0.05,0.27
Tony Hawk's Underground,GBA,2003,Sports,Activision,0.43,0.16,0.0,0.01,0.6
Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0.0,0.0,0.05,0.73
Karaoke Joysound Wii,Wii,2008,Misc,Hudson Soft,0.01,0.0,0.25,0.0,0.26
Rayman 3,GBA,2003,Platform,Ubisoft,0.1,0.04,0.0,0.0,0.14
Vietcong: Purple Haze,XB,2004,Shooter,Gathering of Developers,0.06,0.02,0.0,0.0,0.08
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
Happy Feet,DS,2006,Action,Midway Games,0.27,0.01,0.0,0.02,0.3
WWE 2K14,X360,2013,Sports,Take-Two Interactive,0.64,0.39,0.0,0.1,1.13
Hannah Montana: The Movie,PS3,2009,Adventure,Disney Interactive Studios,0.14,0.06,0.0,0.03,0.23
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008,Role-Playing,Atlus,0.0,0.0,0.17,0.0,0.17
NCAA Final Four 2001,PS,2000,Sports,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.16
Galaxy Racers,DS,2010,Racing,Ubisoft,0.04,0.0,0.0,0.0,0.04
The BIGS 2,PS2,2009,Sports,Take-Two Interactive,0.1,0.08,0.0,0.03,0.21
Jissen Pachi-Slot Hisshouhou! Aladdin A,PS2,2002,Misc,Sammy Corporation,0.0,0.0,0.2,0.0,0.2
Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.58
Young Justice: Legacy,X360,2013,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
Winter Sports 3: The Great Tournament,X360,2010,Sports,Tradewest,0.0,0.01,0.0,0.0,0.01
Monster Racers,DS,2009,Racing,Tecmo Koei,0.05,0.0,0.02,0.0,0.07
Football Manager 2014,PSV,2013,Sports,Sega,0.0,0.1,0.0,0.04,0.14
The Amazing Spider-Man (Console Version),3DS,2012,Action,Activision,0.15,0.03,0.0,0.01,0.19
Shadow Madness,PS,1999,Action,Crave Entertainment,0.1,0.07,0.0,0.01,0.18
The Lord of the Rings: The Two Towers,GC,2002,Action,Electronic Arts,0.41,0.11,0.0,0.01,0.53
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,0.13,0.2,0.0,0.04,0.37
4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0.0,0.0,0.14
Victorious: Hollywood Arts Debut,DS,2011,Misc,D3Publisher,0.14,0.01,0.0,0.01,0.16
Interactive Storybook DS Series 3,DS,2007,Misc,Tommo,0.02,0.0,0.0,0.0,0.02
FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,0.18,0.26,0.0,0.04,0.48
"Sesame Street: Ready, Set, Grover!",Wii,2011,Misc,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.11
Judie no Atelier: Guramnat no Renkinjutsushi,PS2,2002,Role-Playing,Gust,0.0,0.0,0.07,0.0,0.07
Ridge Racer 3D,3DS,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.49
Earthworm Jim 3D,N64,1999,Platform,Interplay,0.1,0.02,0.0,0.0,0.12
"Princess Natasha: Student, Secret Agent, Princess",DS,2006,Action,Zoo Digital Publishing,0.03,0.0,0.0,0.0,0.03
Sora no Otoshimono Forte: Dreamy Season,DS,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.47,1.0,1.39,0.12,2.98
Densetsu no Stafi,GBA,2002,Platform,Nintendo,0.0,0.0,0.46,0.01,0.47
Sangoku Koi Senki: Otome no Heihou!,PSP,2012,Adventure,Prototype,0.0,0.0,0.04,0.0,0.04
Wii Party U,WiiU,2013,Misc,Nintendo,0.31,0.54,0.84,0.08,1.77
Football Manager 2005,PC,2004,Sports,Sega,0.0,0.01,0.0,0.0,0.01
Farming Simulator 2015,PS4,2015,Simulation,Koch Media,0.1,0.2,0.0,0.05,0.35
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.86
Nichibeikan Pro Yakyuu: Final League,PS2,2002,Sports,SquareSoft,0.0,0.0,0.07,0.0,0.07
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,2015,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01
Horrid Henry: Missions of Mischief,Wii,2010,Adventure,SouthPeak Games,0.0,0.02,0.0,0.0,0.02
Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,PS2,2007,Misc,Sega,0.0,0.0,0.02,0.0,0.02
Crazy Taxi 3: High Roller,XB,2002,Racing,Sega,0.14,0.04,0.02,0.01,0.21
Puzzler Mind Gym 3D,3DS,2011,Puzzle,Ubisoft,0.07,0.0,0.0,0.0,0.07
Izumo 2,PS2,2006,Adventure,GN Software,0.0,0.0,0.01,0.0,0.01
DemiKids: Dark Version,GBA,2002,Role-Playing,Atlus,0.02,0.01,0.0,0.0,0.03
Dream C Club,X360,2009,Simulation,D3Publisher,0.0,0.0,0.07,0.0,0.07
Clash of Elementalists,DS,2010,Action,Level 5,0.0,0.0,0.47,0.0,0.47
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,0.99,0.33,0.0,0.05,1.37
RTX Red Rock,PS2,2003,Shooter,LucasArts,0.04,0.03,0.0,0.01,0.08
Magic Pengel: The Quest for Color,PS2,2002,Role-Playing,Taito,0.04,0.03,0.0,0.01,0.08
Disney's Meet the Robinsons,DS,2007,Action,Disney Interactive Studios,0.02,0.0,0.0,0.0,0.02
NASCAR 08,X360,2007,Racing,Electronic Arts,0.26,0.0,0.0,0.02,0.28
Def Jam Fight For NY: The Takeover,PSP,2006,Action,Electronic Arts,0.08,0.0,0.0,0.01,0.09
Shippuu Mahou Daisakusen: Kingdom-Grandprix,SAT,1996,Shooter,Gaga,0.0,0.0,0.02,0.0,0.02
Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.28,0.24,0.0,0.1,0.62
Margot's Word Brain,Wii,2008,Puzzle,Zoo Digital Publishing,0.12,0.0,0.0,0.01,0.13
Clash of the Titans,X360,2010,Action,Namco Bandai Games,0.08,0.06,0.0,0.02,0.16
Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,0.09,0.1,0.0,0.04,0.23
SoulCalibur IV,X360,2008,Fighting,Ubisoft,0.92,0.44,0.07,0.15,1.58
Deponia,PC,2012,Adventure,Daedalic,0.0,0.13,0.0,0.03,0.16
Major League Baseball 2K11,PS3,2011,Sports,Take-Two Interactive,0.15,0.03,0.0,0.02,0.2
Sunny Garcia Surfing,PS2,2001,Sports,Ubisoft,0.02,0.01,0.0,0.0,0.03
Mighty No. 9,WiiU,2016,Platform,Deep Silver,0.01,0.01,0.0,0.0,0.02
Atari Anniversary Advance,GBA,2002,Misc,Atari,0.13,0.05,0.0,0.0,0.18
Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54
Monopoly,PS2,2008,Misc,Electronic Arts,0.21,0.16,0.0,0.05,0.42
The Book of Unwritten Tales 2,PS4,2015,Adventure,Nordic Games,0.0,0.06,0.0,0.01,0.07
Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48
Moto Racer Advance,GBA,2002,Racing,Ubisoft,0.01,0.0,0.0,0.0,0.01
Heavy Fire: Afghanistan,Wii,2011,Shooter,Mastiff,0.11,0.0,0.0,0.01,0.12
World Party Games,Wii,2009,Misc,505 Games,0.07,0.0,0.0,0.01,0.08
War for the Overworld,PC,2015,Strategy,Unknown,0.0,0.01,0.0,0.0,0.01
Winning Post World,PS3,2009,Sports,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
Pro Yakyuu Spirits 5 Kanzenban,PS2,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
Call of Juarez: The Cartel,X360,2011,Shooter,Ubisoft,0.14,0.11,0.0,0.03,0.28
Assassin's Creed: Altair's Chronicles,DS,2008,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.04
Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
Shin Megami Tensei: Devil Survivor 2,DS,2011,Role-Playing,Ghostlight,0.17,0.01,0.12,0.01,0.31
Hitotsu Tobashi Renai V,PSV,2015,Adventure,Kaga Create,0.0,0.0,0.01,0.0,0.01
Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,2004,Platform,Konami Digital Entertainment,0.0,0.0,0.2,0.01,0.21
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007,Shooter,THQ,0.01,0.04,0.0,0.01,0.06
Hakuouki: Zuisouroku DS,DS,2011,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04
Yomawari,PSV,2015,Adventure,Nippon Ichi Software,0.0,0.0,0.06,0.0,0.06
Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,0.63,0.43,0.0,0.07,1.13
Just Dance Wii 2,Wii,2012,Misc,Nintendo,0.0,0.0,0.29,0.0,0.29
Emma at the Farm,DS,2008,Adventure,Aspyr,0.03,0.0,0.0,0.0,0.03
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega,0.0,0.0,0.55,0.0,0.55
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004,Platform,Electronic Arts,0.08,0.02,0.0,0.0,0.1
Escape Dead Island,PS3,2014,Action,Deep Silver,0.03,0.04,0.0,0.01,0.08
Jeopardy! 2nd Edition,PS,2000,Misc,Hasbro Interactive,0.16,0.11,0.0,0.02,0.29
Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99
Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97
Backyard Skateboarding 2006,GBA,2004,Sports,Atari,0.04,0.02,0.0,0.0,0.06
SingStar Pop Edition,PS3,2009,Misc,Sony Computer Entertainment,0.0,0.19,0.0,0.05,0.24
Bookworm Deluxe,PC,2006,Puzzle,PopCap Games,0.01,0.0,0.0,0.0,0.01
Destiny: The Collection,XOne,2016,Shooter,Activision,0.01,0.02,0.0,0.0,0.03
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.36,0.19,0.0,0.05,0.6
Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42
Burnout Legends,DS,2005,Racing,Electronic Arts,0.15,0.02,0.0,0.01,0.18
NBA 2K10,PS2,2009,Sports,Take-Two Interactive,0.33,0.01,0.0,0.05,0.39
Desert Strike Advance,GBA,2002,Simulation,Electronic Arts,0.05,0.02,0.0,0.0,0.07
Hello Kitty Seasons,Wii,2010,Adventure,Namco Bandai Games,0.16,0.06,0.0,0.02,0.24
Gundam Breaker,PS3,2013,Action,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
Mystic Heroes,PS2,2002,Action,Tecmo Koei,0.03,0.02,0.0,0.01,0.06
Defiance,PS3,2013,Shooter,Trion Worlds,0.19,0.11,0.0,0.05,0.35
The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,1.0
Iron Man,X360,2008,Action,Sega,0.27,0.24,0.0,0.06,0.57
World Series of Poker,GC,2005,Misc,Activision Value,0.04,0.01,0.0,0.0,0.05
Jikkyou Powerful Pro Yakyuu 5,N64,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27
TNA iMPACT!,Wii,2008,Fighting,Midway Games,0.14,0.01,0.0,0.01,0.16
Azurik: Rise of Perathia,XB,2001,Action,Microsoft Game Studios,0.18,0.05,0.0,0.01,0.24
The Incredible Hulk,X360,2008,Action,Sega,0.22,0.03,0.0,0.02,0.27
Naruto: Ninja Destiny,DS,2006,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
The Bard's Tale,PS2,2004,Role-Playing,Ubisoft,0.1,0.08,0.0,0.03,0.21
Kamigami no Asobi InFinite,PSV,2016,Adventure,Broccoli,0.0,0.0,0.01,0.0,0.01
Hyrule Warriors,3DS,2016,Action,Nintendo,0.16,0.12,0.11,0.03,0.42
Armored Core,PS,1997,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41
Balls of Fury,Wii,2007,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92
LEGO Ninjago: Shadow of Ronin,PSV,2015,Action,Warner Bros. Interactive Entertainment,0.03,0.16,0.0,0.05,0.24
Doko Demo Issho,PSP,2004,Misc,Sony Computer Entertainment,0.0,0.0,0.1,0.0,0.1
Operation Abyss: New Tokyo Legacy,PSV,2014,Role-Playing,Nippon Ichi Software,0.04,0.01,0.06,0.02,0.13
Ben 10 Galactic Racing,3DS,2011,Racing,D3Publisher,0.07,0.06,0.0,0.01,0.14
de Blob,Wii,2008,Platform,THQ,0.5,0.37,0.0,0.1,0.97
Gaist Crusher,3DS,2013,Action,Capcom,0.0,0.0,0.05,0.0,0.05
Pilot Academy,PSP,2006,Simulation,Rising Star Games,0.0,0.01,0.0,0.0,0.01
MuvLuv Double Pack,PSV,2016,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
Commandos 2: Men of Courage,XB,2002,Strategy,Eidos Interactive,0.05,0.02,0.0,0.0,0.07
Mike Tyson Boxing,GBA,2002,Sports,Ubisoft,0.03,0.01,0.0,0.0,0.04
The Misadventures of Tron Bonne,PS,1999,Adventure,Eidos Interactive,0.03,0.02,0.0,0.0,0.05
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0.0,0.03,0.71
Man vs. Wild,Wii,2011,Action,Crave Entertainment,0.07,0.0,0.0,0.0,0.07
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
Echo Night,PS,1998,Adventure,From Software,0.03,0.02,0.07,0.01,0.13
Fur Fighters: Viggo's Revenge,PS2,2001,Action,Acclaim Entertainment,0.07,0.05,0.0,0.02,0.14
FIFA Soccer 07,XB,2006,Sports,Electronic Arts,0.16,0.35,0.0,0.04,0.55
Love Plus,DS,2009,Simulation,Konami Digital Entertainment,0.0,0.0,0.26,0.0,0.26
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59
Fire Pro Wrestling Returns,PS2,2005,Sports,505 Games,0.04,0.03,0.0,0.01,0.08
Tsuyo Kiss 2 Gakki: Swift Love,PS2,2009,Adventure,Revolution (Japan),0.0,0.0,0.02,0.0,0.02
"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.27,0.0,0.06,0.58
NHRA Drag Racing: Countdown to the Championship,PSP,2007,Racing,THQ,0.03,0.0,0.0,0.0,0.03
Order Up!!,PS3,2011,Action,Funbox Media,0.04,0.01,0.0,0.01,0.06
Summon Night 4,PSP,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
Princess Arthur,PSP,2013,Misc,Idea Factory,0.0,0.0,0.01,0.0,0.01
The Quest Trio,DS,2008,Puzzle,Avanquest,0.14,0.01,0.0,0.01,0.16
World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994,Sports,Misawa,0.0,0.0,0.02,0.0,0.02
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.51
Disney's Atlantis: The Lost Empire,GBA,2001,Platform,THQ,0.09,0.03,0.0,0.0,0.12
Mortal Kombat 4,PS,1998,Fighting,GT Interactive,0.81,0.55,0.0,0.1,1.46
MLB SlugFest Loaded,PS2,2004,Sports,Midway Games,0.14,0.11,0.0,0.04,0.29
The Legend of Heroes: Trails in the Sky First Chapter,PSV,2015,Role-Playing,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07
The Darkness II,PC,2012,Shooter,Take-Two Interactive,0.1,0.03,0.0,0.01,0.14
Fast Food Panic,DS,2010,Simulation,Nobilis,0.13,0.0,0.0,0.01,0.14
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.51,0.0,0.12,1.17
Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,0.0,0.0,0.62,0.0,0.62
Monster Jam: Urban Assault,PS2,2008,Racing,Activision,0.06,0.05,0.0,0.02,0.13
Brain Dead 13,PS,1996,Adventure,Coconuts Japan,0.01,0.01,0.0,0.0,0.02
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,Square Enix,0.22,0.08,0.08,0.03,0.41
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive,0.17,0.13,0.0,0.04,0.34
Jirou Akagawa: Majotachi no Nemuri,SNES,1995,Adventure,Pack-In-Video,0.0,0.0,0.05,0.0,0.05
NHL 09,PS2,2008,Sports,Electronic Arts,0.07,0.06,0.0,0.02,0.15
NBA Live 08,PS2,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72
Dreamworks 2-in-1 Party Pack,DS,2010,Misc,Activision,0.14,0.0,0.0,0.01,0.15
From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001,Role-Playing,Namco Bandai Games,0.0,0.0,0.32,0.02,0.34
Taiko Drum Master,PS2,2004,Misc,Namco Bandai Games,0.1,0.08,0.0,0.03,0.21
Baroque,PS2,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.12
Thoroughbred Breeder II,SNES,1994,Simulation,Hect,0.0,0.0,0.27,0.0,0.27
SingStar Legends,PS2,2006,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1
Jet Moto,PS,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83
Polaris SnoCross,PS,2000,Racing,Vatical Entertainment,0.09,0.06,0.0,0.01,0.16
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,THQ,0.22,0.17,0.0,0.06,0.45
Disney Infinity,3DS,2013,Action,Disney Interactive Studios,0.16,0.1,0.0,0.02,0.28
Tak: Mojo Mistake,DS,2008,Action,THQ,0.16,0.0,0.0,0.01,0.17
International Superstar Soccer Pro '98,PS,1998,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42
Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6
I Love Beauty: Hollywood Makeover,DS,2009,Misc,City Interactive,0.06,0.0,0.0,0.0,0.06
F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
